Name,Volume,Price
Ardmore tradition peated,                      1 litre,"Ksh 9,999"
Glenfiddich project xx,                      750 ml,"Ksh 9,999"
Omar bourbon cask single malt whisky,                      700 ml,"Ksh 9,999"
Teeling whisky single grain,                      1 litre,"Ksh 9,999"
Amrut intermediate sherry single malt indian whisky,                      700 ml,"Ksh 9,999"
Auchetoshan american oak,                      750 ml,"Ksh 9,999"
Old Pulteney 12 Years,                      750 ml,"Ksh 9,999"
Nikka Whisky from The Barrel,                      500 ml,"Ksh 9,999"
Jura 16,                      750 ml,"Ksh 9,999"
Jim beam double oak,                      750 ml,"Ksh 9,999"
Glenlivet 12 years illlicit still,                      700 ml,"Ksh 9,999"
Ballantines glenburgie 15 years,                      750 ml,"Ksh 9,999"
Ballantines miltonduff 15 years,                      750 ml,"Ksh 9,999"
Four roses bourbon whiskey,                      750 ml,"Ksh 9,999"
The balvenie doublewood 12 years,                      750 ml,"Ksh 9,999"
Old pulteney 200 vintage,                      1 litre,"Ksh 9,999"
Jura the sound,                      750 ml,"Ksh 9,999"
Glenfiddich IPA edition,                      700 ml,"Ksh 9,999"
Nikka blended whisky,                      750 ml,"Ksh 9,999"
Eagle rare Kentucky straight bourbon whiskey,                      750 ml,"Ksh 9,999"
Johnnie walker 18 years,                      1 litre,"Ksh 9,999"
Dalwhinnie winters gold,                      700 ml,"Ksh 9,999"
Bowmore 10 years,                      1 litre,"Ksh 9,999"
Balvenie 12 years single barrel,                      750 ml,"Ksh 9,999"
Bunnahabhain 12 years,                      700 ml,"Ksh 9,999"
Smokehead special rock edition,                      700 ml,"Ksh 9,999"
Smokehead extra rare,                      1 litre,"Ksh 9,999"
Nikka super rare old,                      700 ml,"Ksh 9,999"
Glenfiddich malt masters edition sherry cask finish,                      750 ml,"Ksh 9,999"
Hombo iwai tradition whisky,                      750 ml,"Ksh 9,999"
Jura The Road,                      1 litre,"Ksh 9,999"
Cragganmore distillers edition,                      700 ml,"Ksh 9,999"
Dalwhinnie 15 years,                      750 ml,"Ksh 10,000"
Laphroaig four oak,                      1 litre,"Ksh 10,000"
Jim beam single barrel,                      1 litre,"Ksh 10,000"
Suntory whisky kakubin,                      750 ml,"Ksh 10,000"
Hombo iwai japanese whisky,                      750 ml,"Ksh 10,000"
Dewars 15 years,                      750 ml,"Ksh 10,000"
Woodford reserve double oaked,                      1 litre,"Ksh 10,000"
Basil haydens bourbon whisky,                      1 litre,"Ksh 10,000"
Bowmore gold reef,                      1 litre,"Ksh 10,000"
Bunnahabhain cruach mhona,                      1 litre,"Ksh 10,000"
Jura 16 years,                      750 ml,"Ksh 10,000"
The macallan select oak,                      1 litre,"Ksh 10,000"
Suntory old whisky,                      750 ml,"Ksh 10,499"
Bowmore 12 years,                      750 ml,"Ksh 10,499"
Blantons bourbon whisky,                      750 ml,"Ksh 10,499"
Johnnie walker island green,                      1 litre,"Ksh 10,499"
Laphroaig quarter cask,                      750 ml,"Ksh 10,500"
Pure malt red nikka whisky,                      500 ml,"Ksh 10,500"
Bushmills sherry cask steamship,                      1 litre,"Ksh 10,699"
Glenfiddich 15 years,                      750 ml,"Ksh 10,999"
Highland park valfather,                      750 ml,"Ksh 10,999"
Jameson distiller's safe,                      750 ml,"Ksh 10,999"
Mars maltage cosmo,                      700 ml,"Ksh 10,999"
Glenfiddich reserve cask,                      750 ml,"Ksh 10,999"
Highland park spirit of the bear,                      750 ml,"Ksh 10,999"
Highland 14 loyalty of the wolf,                      750 ml,"Ksh 10,999"
Jim beam signature craft,                      750 ml,"Ksh 10,999"
Amrut fusion single malt indian whisky,                      700 ml,"Ksh 10,999"
Chivas regal 18 years,                      1 litre,"Ksh 10,999"
Lagavulin 8 Years,                      700 ml,"Ksh 10,999"
Jura 16,                      1 litre,"Ksh 10,999"
Laphroaig 10 years,                      750 ml,"Ksh 11,000"
Nikka taketsuru pure malt,                      750 ml,"Ksh 11,000"
Johnnie walker red label 4.5 Litres king size,                      3 litres,"Ksh 11,000"
Johnnie walker platinum label,                      1 litre,"Ksh 11,000"
Jura 16 years,                      1 litre,"Ksh 11,000"
Jura The Loch,                      700 ml,"Ksh 11,000"
Pure malt black Nikka whisky,                      500 ml,"Ksh 11,500"
Omar sherry cask single malt whisky,                      700 ml,"Ksh 11,999"
Gold bar whiskey,                      750 ml,"Ksh 11,999"
Rampur sherry px finish,                      750 ml,"Ksh 11,999"
Strathisla 12 years,                      1 litre,"Ksh 11,999"
Highland park voyage of the raven,                      750 ml,"Ksh 11,999"
Highland park harald,                      750 ml,"Ksh 11,999"
Jura seven wood,                      750 ml,"Ksh 11,999"
Auchetoshan three wood,                      750 ml,"Ksh 11,999"
Wild Turkey Longbranch,                      1 litre,"Ksh 11,999"
"Aberfeldy gift pack (12, 16, 21)",                      200ml,"Ksh 11,999"
Caol ila distiller's edition,                      750 ml,"Ksh 11,999"
Bruichladdich islay barley,                      700 ml,"Ksh 11,999"
Smokehead high voltage,                      700 ml,"Ksh 11,999"
Grants  4.5 Litres king size,                      4.5 litres,"Ksh 11,999"
Bunnahabhain limited release,                      700 ml,"Ksh 11,999"
Jura prophecy,                      1 litre,"Ksh 12,000"
Sir edwards 4.5 litres king size,                      4.5 litres,"Ksh 12,000"
Jura superstition,                      1 litre,"Ksh 12,000"
Mortlach 14 Years,                      750 ml,"Ksh 12,199"
Bunnahabhain eirigh na greine,                      1 litre,"Ksh 12,499"
The wild geese single malt irish whisky,                      700 ml,"Ksh 12,499"
