Name,Price,Liquor Type
OVERMEER LATE HARVEST 5LTRS(9%),"KSh2,800.00",Wine
CHATEAU STE MICHELLE RIESLING 750ML(12%),"KSh2,800.00",Wine
SIMONSIG GEWURZTRAMINER – SEMI SWEET 750ML(13.0%),"KSh2,750.00",Wine
MARTINI EXTRA DRY WHITE 1LTR(18%),"KSh2,700.00",Wine
UPPER VALLEY SWEET WHITE 1.5LTR (12%),"KSh2,700.00",Wine
EFRAT MASSORET SWEET RED(ORGANIC WINE) 1 LITRE(10.5%),"KSh2,700.00",Wine
NABYGELEGEN UPPER VALLEY SWEET RED 1.5LTRS(13%),"KSh2,700.00",Wine
STELLENBOSCH VINEYARDS CABERNET SAUVIGNON 750ML(14%),"KSh2,700.00",Wine
SANDEMAN FINE RUBY PORT 1LTR(19.5%),"KSh2,650.00",Wine
14 HANDS MOSCATO 750ML(10.5%),"KSh2,650.00",Wine
YEALANDS PINOR GRIS 750ML (13.5%),"KSh2,600.00",Wine
YEALANDS SAUVIGNON BLANC 750ML (13.5%),"KSh2,600.00",Wine
JACOB’S CREEK DOUBLE BARREL SHIRAZ 2018 750ML(14.5%),"KSh2,600.00",Wine
TRUMPETER  RESERVE CHARDONNAY 750ML(13%),"KSh2,600.00",Wine
PIERRE MARCEL SWEET RED 1.5 LITRES(11%),"KSh2,600.00",Wine
KEN FORRESTER MERLOT 750ML(14%),"KSh2,560.00",Wine
GRAHAM’S FINE RUBY PORT 750ML (19%),"KSh2,550.00",Wine
CARLO ROSSI WHITE 1.5 LITRES(9.5%),"KSh2,550.00",Wine
THREE THIEVES PINOT NOIR 750ML(13.5%),"KSh2,550.00",Wine
SIMONSIG SAUVIGNON BLANC 750ML(13%),"KSh2,550.00",Wine
KLEINE RUST SWEET WHITE 1.5 LITRES(12.5%),"KSh2,500.00",Wine
UPPER VALLEY DRY RED (NABYGELEGEN)1.5 LTR(13%),"KSh2,500.00",Wine
UPPER VALLEY DRY WHITE 1.5 LTR(12%),"KSh2,500.00",Wine
